"index","start.station.latitude","start.station.longitude","C","cluster"
"1",40.73532427,-73.99800419,31,74
"2",40.7172274,-73.98802084,31,27
"3",40.69681963,-73.93756926,23,95
"4",40.76663814,-73.95348296,39,43
"5",40.74177603,-74.00149746,39,8
"6",40.72917025,-73.99810231,35,31
"7",40.74475148,-73.99915362,39,8
"8",40.75640548,-73.9900262,59,69
"9",40.76030096,-73.99884222,31,63
"10",40.72019576,-73.98997825,42,27
"11",40.71413311,-73.95234386,36,81
"12",40.74444921,-73.98303529,38,51
"13",40.73226398,-73.99852205,33,74
"14",40.7381765,-73.97738662,30,11
"15",40.72953837,-73.98426726,27,53
"16",40.71427487,-73.98990025,29,65
"17",40.74173969,-73.99415556,47,8
"18",40.71870987,-74.0090009,27,6
"19",40.73047309,-73.98672378,39,74
"20",40.72779126,-73.98564945,27,53
"21",40.72165481,-74.00234737,38,31
"22",40.73524276,-73.98758561,37,51
"23",40.76341379,-73.99667444,24,63
"24",40.77452835,-73.98753759,43,71
"25",40.7546011026,-73.971878855,55,30
"26",40.74025878,-73.98409214,38,51
"27",40.72903917,-73.99404649,27,74
"28",40.73314259,-73.97573881,36,11
"29",40.72217444,-73.98368779,37,53
"30",40.77862688,-73.95772073,59,44
"31",40.70862144,-74.00722156,43,96
"32",40.72740794,-73.98142006,42,53
"33",40.73223272,-73.98889957,35,53
"34",40.74854862,-73.98808416,29,20
"35",40.68851534,-73.9647628,27,13
"36",40.7284186,-73.98713956,39,53
"37",40.72317958,-73.99480012,27,31
"38",40.73564,-73.95866,27,88
"39",40.74238787,-73.99726235,31,8
"40",40.71559509,-73.9870295,28,65
"41",40.74734825,-73.99723551,35,8
"42",40.734232,-73.986923,27,53
"43",40.7031724,-73.940636,24,54
"44",40.74345335,-74.00004031,37,8
"45",40.724055,-73.955736,24,75
"46",40.710451,-73.960876,43,28
"47",40.71291224,-74.01020234,23,6
"48",40.71605866,-73.99190759,43,27
"49",40.76227205,-73.98788205,59,63
"50",40.75466591,-73.99138152,51,12
"51",40.74487634,-73.99529885,39,8
"52",40.73331967,-73.99510132,31,74
"53",40.71534825,-73.96024116,31,81
"54",40.72082834,-73.97793172,23,27
"55",40.689888,-73.981013,51,62
"56",40.75645824,-73.99372222,41,63
"57",40.7208736,-73.98085795,31,92
"58",40.74195138,-74.00803013,37,17
"59",40.72079821,-73.95484712,27,29
"60",40.74901271,-73.98848395,36,69
"61",40.72228087,-73.97668709,22,92
"62",40.7489006,-73.97604882,45,21
"63",40.71307916,-73.99851193,27,96
"64",40.73047747,-73.99906065,36,74
"65",40.72110063,-73.9919254,38,27
"66",40.74691959,-74.00451887,46,8
"67",40.7462009,-73.98855723,39,12
"68",40.75001986,-73.96905301,39,77
"69",40.7451677,-73.98683077,47,51
"70",40.7390169121,-74.0026376103,43,98
"71",40.77801203,-73.95407149,39,50
"72",40.72621788,-73.98379855,31,53
"73",40.7403432,-73.98955109,41,51
"74",40.73232194,-73.9550858,34,88
"75",40.71260486,-73.96264403,25,97
"76",40.749717753,-74.002950346,35,8
"77",40.73492695,-73.99200509,36,74
"78",40.76340613,-73.97722479,36,1
"79",40.73266,-73.95826,35,88
"80",40.70925562,-73.95982218,27,10
"81",40.75255434,-73.97282625,32,30
"82",40.71219906,-73.97948148,24,47
"83",40.72490985,-74.00154702,42,31
"84",40.73172428,-74.00674436,31,98
"85",40.73454567,-73.99074142,47,53
"86",40.72955361,-73.98057249,39,53
"87",40.71413089,-73.9970468,35,65
"88",40.7361967,-74.00859207,31,98
"89",40.73652889,-74.00618026,27,98
"90",40.72405549,-74.00965965,23,18
"91",40.7014851,-73.98656928,27,4
"92",40.6883337,-73.950916,23,38
"93",40.76312584,-73.96526895,51,89
"94",40.73291553,-74.00711384,36,98
"95",40.72708584,-73.95299117,27,75
"96",40.71924,-73.95242,39,81
"97",40.73221853,-73.98165557,45,53
"98",40.69363137,-73.96223558,23,67
"99",40.71754834,-74.01322069,31,19
"100",40.7575699,-73.99098507,41,63
"101",40.70767788,-73.94016171,31,52
"102",40.71103537,-73.94714303,24,81
"103",40.694528,-73.958089,27,23
"104",40.76727216,-73.99392888,39,22
"105",40.71926081,-73.98178024,15,27
"106",40.73543934,-73.99453948,55,74
"107",40.73261787,-73.99158043,27,74
"108",40.73038599,-74.00214988,38,74
"109",40.72229346,-73.99147535,34,27
"110",40.77573034,-73.9567526,47,50
"111",40.7037992,-74.00838676,37,35
"112",40.70463334,-74.01361706,36,19
"113",40.73649403,-73.99704374,35,74
"114",40.75929124,-73.98859651,43,63
"115",40.73827428,-73.98751968,29,51
"116",40.72311651,-73.95212324,39,75
"117",40.68940747,-73.96885458,23,83
"118",40.7612274,-73.96094022,59,89
"119",40.715143,-73.944507,25,73
"120",40.7158155,-73.99422366,29,65
"121",40.74708586,-73.94977234,23,84
"122",40.75968085,-73.97031366,36,30
"123",40.71893904,-73.99266288,39,27
"124",40.72299208,-73.97995466,31,92
"125",40.77565541,-73.95068615,31,90
"126",40.76019252,-73.9912551,31,63
"127",40.77748046,-73.98288594,31,71
"128",40.69072549,-73.95133465,23,79
"129",40.75797322,-73.96603308,29,45
"130",40.72066442,-73.98517977,35,27
"131",40.74395411,-73.99144871,35,51
"132",40.71044554,-73.96525063,27,97
"133",40.73912601,-73.97973776,47,11
"134",40.74394314,-73.97966069,47,21
"135",40.74334935,-74.00681753,28,8
"136",40.73401143,-74.00293877,38,98
"137",40.768254,-73.988639,27,22
"138",40.69766564,-73.98476437,19,60
"139",40.71076228,-73.99400398,23,48
"140",40.73224119,-74.00026394,35,74
"141",40.7016657,-73.9437303,27,54
"142",40.75455731,-73.96592976,35,77
"143",40.7652654,-73.98192338,59,1
"144",40.71286844,-73.95698119,31,81
"145",40.72743423,-73.99379025,23,53
"146",40.72362738,-73.99949601,31,31
"147",40.73587678,-73.98205027,39,11
"148",40.69236178,-73.98631746,39,56
"149",40.72521311,-73.97768752,32,92
"150",40.7867947,-73.977112,63,72
"151",40.71745169,-73.95850939,28,10
"152",40.75323098,-73.97032517,47,70
"153",40.71269042,-73.98776323,27,65
"154",40.76695317,-73.98169333,39,1
"155",40.72153267,-73.95782357,27,81
"156",40.71167351,-73.95141312,25,81
"157",40.74317449,-74.00366443,27,8
"158",40.69165183,-73.9999786,31,7
"159",40.70823502,-74.00530063,37,96
"160",40.74144387,-73.97536082,29,21
"161",40.68382604,-73.97632328,61,57
"162",40.70877084,-73.95095259,33,81
"163",40.71748752,-74.0104554,25,6
"164",40.7454973,-74.00197139,36,8
"165",40.72710258,-74.00297088,29,31
"166",40.70365182,-74.01167797,35,35
"167",40.7160751,-73.952029,19,81
"168",40.75594159,-74.0021163,38,40
"169",40.74096374,-73.98602213,53,51
"170",40.73704984,-73.99009296,59,51
"171",40.749156,-73.9916,42,12
"172",40.76461837,-73.98789473,31,63
"173",40.71273266,-74.0046073,39,36
"174",40.76009437,-73.99461843,35,63
"175",40.76269882,-73.99301222,25,63
"176",40.76370739,-73.9851615,31,63
"177",40.75097711,-73.98765428,57,78
"178",40.7568001,-73.98291153,33,30
"179",40.74524768,-73.94733276,27,86
"180",40.75019995,-73.99093085,49,20
"181",40.76228826,-73.98336183,52,1
"182",40.7770575,-73.97898475,65,71
"183",40.77896784,-73.97374737,39,14
"184",40.71406667,-73.99293911,24,65
"185",40.71910537,-73.99973337,27,6
"186",40.74290902,-73.97706058,39,21
"187",40.75022392,-73.97121414,39,70
"188",40.74780373,-73.9734419,39,77
"189",40.71622644,-73.98261206,23,27
"190",40.75714758,-73.97207836,51,30
"191",40.72467721,-73.98783413,31,53
"192",40.71739973,-73.98016555,29,66
"193",40.72938685,-73.97772429,33,53
"194",40.71542197,-74.01121978,33,6
"195",40.70569254,-74.01677685,24,19
"196",40.73971301,-73.99456405,46,51
"197",40.7423543,-73.98915076,52,51
"198",40.73935542,-73.99931783,39,8
"199",40.77492513,-73.98266566,31,71
"200",40.711512,-74.015756,24,19
"201",40.69580705,-73.97355569,23,83
"202",40.69474881,-73.98362464,27,4
"203",40.71117416,-74.00016545,27,48
"204",40.7728384,-73.94989233,43,50
"205",40.7457121,-73.98194829,41,12
"206",40.71117444,-73.99682619,35,48
"207",40.78524672,-73.97667321,39,72
"208",40.69760127,-73.99344559,31,7
"209",40.72368361,-73.97574813,24,92
"210",40.7153379,-74.01658354,38,19
"211",40.70834698,-74.01713445,49,19
"212",40.77140426,-73.9535166,55,43
"213",40.73624527,-73.98473765,35,51
"214",40.75110165,-73.94073717,31,46
"215",40.76095756,-73.96724467,33,2
"216",40.78499979,-73.97283406,35,72
"217",40.76669671,-73.99061728,26,22
"218",40.75660359,-73.9979009,31,63
"219",40.78472675,-73.96961715,31,14
"220",40.68926942,-73.98912867,35,56
"221",40.68650065,-73.96563307,19,13
"222",40.77677702,-73.9590097,46,44
"223",40.70955958,-74.00653609,43,96
"224",40.698617,-73.941342,23,95
"225",40.74765947,-73.98490707,39,69
"226",40.72453734,-73.98185424,27,53
"227",40.68753406,-73.97265183,31,13
"228",40.75510267,-73.97498696,55,30
"229",40.7643971,-73.97371465,59,15
"230",40.682601,-73.938037,19,39
"231",40.752062307,-73.9816324043,55,69
"232",40.73726186,-73.99238967,47,9
"233",40.7785669,-73.97754961,27,71
